School Name,Address,Image,Educational System,Educational Stages
 مدارس الرحمة الاهلية,حي الروضةجدة,https://schoolynetwork.com/images/sobipro/entries/195/thumb_logo.jpg,School System Not Defined!,"['ابتدائي', 'متوسط']"
 مدارس جيل الصفا العالمية,حي الفيحاءالرياض,https://schoolynetwork.com/images/sobipro/entries/124/thumb_jeel_assafa_logo.jpg,امريكي,"['تمهيدي', 'ابتدائي']"
 مدارس الرمال العالمية,مخرج 12 – حي السليمانية – ش شريح بن الحارث بجوار ش عبد الواحد الكريمي – متفرع من سلمان الحمدانالرياض,https://schoolynetwork.com/images/sobipro/entries/147/thumb_sands.png,امريكي,"['تمهيدي', 'ابتدائي', 'متوسط', 'ثانوي']"
 مدارس دلتا العالمية,- الموقع - مخرج 4 - حي المروج - شارع الحفصيون - متفرع من شارع الامير تركي بن عبد العزيز الثانيالرياض,https://schoolynetwork.com/images/sobipro/entries/219/thumb_17630085_10154708299109011_8620607143356088146_n.jpg,امريكي,"['تمهيدي', 'ابتدائي', 'متوسط', 'ثانوي']"
 مدارس العلمين العالمية,الرياض – أم الحمام الغربي - سماحة الشيخ محمد بن صالح بن محمد العثيمينالرياض,https://schoolynetwork.com/images/sobipro/entries/257/thumb_33059910_10155864609144011_307795790430994432_n.jpg,بريطاني,"['تمهيدي', 'ابتدائي', 'متوسط']"
 مدارس نوابغ العلم العالمية,حي العليا – شارع الامير فهد بن سعد بن عبد الرحمن – متفرع من شارع الامير عبد العزيز بن مساعد بن جلوي Olaya – prince fahd bin sa’d bin abdulrahman streeالرياض,https://schoolynetwork.com/images/sobipro/entries/162/thumb_IMG_329.png,امريكي,"['تمهيدي', 'ابتدائي', 'متوسط', 'ثانوي']"
 مدارس الجودة العالمية,الرياض - حي المعرزات - شارع عبدالله بن ابي البركات.الرياض,School Has No Image!,امريكي,"['تمهيدي', 'ابتدائي']"
 مدارس بوابة المعرفة العالمية,جدة- حي الشاطئ - خلف بيوتات الأعمالجدة,https://schoolynetwork.com/images/sobipro/entries/389/thumb_eissmall.jpg,امريكي,"['تمهيدي', 'ابتدائي', 'متوسط', 'ثانوي']"
 روضة أرض اللؤلؤة الأهلية,- الموقع - مخرج 9 - حي الازدهار – شارع تبوكالرياض,https://schoolynetwork.com/images/sobipro/entries/201/thumb_IMG-20171130-WA0020.jpg,أخرى,['تمهيدي']
 مدارس الأفق العالمية,مخرج 4 – حي الورود – شارع عبد الله العنقري – متفرع من طريق الملك عبد العزيزالرياض,https://schoolynetwork.com/images/sobipro/entries/216/thumb_26229617_10155508358939011_1469779495589696104_n.jpg,امريكي,"['تمهيدي', 'ابتدائي', 'متوسط', 'ثانوي']"
 مدارس دريم العالمية,الموقع - مخرج 6 - حي النزهة - تقاطع طريق أبي بكر الصديق مع طريق الملك عبد الله - مقابل مفروشات المطلقالرياض,https://schoolynetwork.com/images/sobipro/entries/228/thumb_20292921_10155080550854011_1431744979045615342_n.jpg,امريكي,"['تمهيدي', 'ابتدائي', 'متوسط']"
 مدارس لغات جدة العالمية,جدة - حي المشرفة - طريق الامير متعب بن عبدالعزيز، متفرع من بني مالك،جدة,https://schoolynetwork.com/images/sobipro/entries/264/thumb_31250656_10155798788899011_8600814989886375137_n.jpg,بريطاني,"['تمهيدي', 'ابتدائي']"
 مدارس منارات الرياض العالمية,الموقع - مخرج 8 - شارع الجنادل - متفرع من الطريق الدائري الشمالي.الرياض,https://schoolynetwork.com/images/sobipro/entries/242/thumb_18268568_10154813561959011_4634718508480215101_n.jpg,امريكي,"['تمهيدي', 'ابتدائي', 'متوسط', 'ثانوي']"
 مدارس ابها العالمية,ابها – حي الحسام –طريق الملك فهدابها,https://schoolynetwork.com/images/sobipro/entries/273/thumb_medium.jpg,بريطاني,"['تمهيدي', 'ابتدائي', 'متوسط', 'ثانوي']"
 شروق الشمس العالمية,مخرج - حي البديعة ) غرب الرياض ) شارع الشيخ عبدالعزيز بن بازوادي نعامالرياض,https://schoolynetwork.com/images/sobipro/entries/164/thumb_xsluOxNvsckGJSq5CXdDWAnBZcsNfm3o.jpg,امريكي,"['تمهيدي', 'ابتدائي', 'متوسط']"
 مدارس أم القرى العالمية,– مخرج 26 – حي المنار – شارع الشيخ عبدالرحمن بن عبداللطيفالرياض,https://schoolynetwork.com/images/sobipro/entries/171/thumb_IMG-20180503-WA0034.jpg,امريكي,"['تمهيدي', 'ابتدائي', 'متوسط']"
 مدارس عصر التربية العالمية - فرع الياسمين,مخرج 4 – حي الياسمين – شارع العليا – بعد التقاطع مع طريق اس بن مالك اتجاه الشمال .الرياض,https://schoolynetwork.com/images/sobipro/entries/215/thumb_asr tarbia - ruh - shefaa.jpg,امريكي,"['تمهيدي', 'ابتدائي', 'متوسط']"
 مدارس واحة العلم العالمية,حي العليا – طريق الامير سلطان – خلف السرايا التركي ( شارع ال 30 ).الرياض,https://schoolynetwork.com/images/sobipro/entries/298/thumb_e1d3c5da04e5cf434e18b400db86e8a8.png,امريكي,"['تمهيدي', 'ابتدائي', 'متوسط']"
